Name,StockKeepingUnit
vSphere Standard,QB-VMW-S
vSphere Enterprise,QB-VMW-E
QB Platform - QB API Management Solution,QB-DRO-API-MGMT
Additional API Pre-Prod,QB-API-PREP
Additional API Gov,QB-API-GOVT
Additional API Flex (100M),QB-API-FLEX
Additional QB DataGraph (500M),QB-DAT-GRPH
"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5883
API Access Requests (AEH),QB-API-REQT
Cable Management Rings (Qty 10),QB-CMPC-5881
Cable Containment Brackets,QB-CMPC-5884
QuantumShell 6U 600mmx870mm,QB-BMX-1051
QuantumShell 8U 600mmx1070mm,QB-BMX-1050
QuantumShell 10U 600mmx1200mm,QB-BMX-1053
QuantumBit Starter,QB-BDL-STND
Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660
Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667
Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683
32GB RDIMM,QB-MEM 32GB
1TB 7.2k RPM NLSAS,QB-HD 1TB
Additional API,QB-API
QuantumBit Complete Solution,QB-COMPLETE
4TB 7.2k RPM NLSAS,QB-HD 4TB
8GB RDIMM,QB-MEM 8GB
Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710
C13 to C14 Power Cable 3',QB-CMPC-5887
C13 to C14 Power Cable 5',QB-CMPC-5888
C19 to C20 Power Cable 3',QB-CMPC-5889
C19 to C20 Power Cable 5',QB-CMPC-5890
L5-20 Input Power Cable 12',QB-CMPC-5891
L5-20 Input Power Cable 8',QB-CMPC-5892
Gold Hardware Maintenance,QB-SUPP-1005
Silver Hardware Maintenance,QB-SUPP-1000
Additional Automation QB Credits,QB-AUT-CRED
Additional API Prod,QB-API-PROD
QuantumBit Enterprise,QB-BDL-ENTR
QuantumBit Business Critical,QB-BDL-CRTL
QuantumBit Fundamentals Training,QB-TRN-FUND
QuantumBit Essentials Training,QB-TRN-ESSNTLS
Professional Services Daily Rate,QB-SRV-OG-PSH
Professional Services Scope of Work,QB-SRV-SOW
